Title,City,State,Value,Status,BidDate,Uses,HasHotel,HasElderly,Lat,Lng
The Vibe - Clinton House and Hanover House,Cleveland,OH,80000000,Design,,"Multi-Residential, Parking Garage, Sidewalks / Parking Lot",FALSE,FALSE,41.489,-81.7098
Cincinnati Club Redevelopment,Cincinnati,OH,49000000,Design,,"Office, Parking Garage",FALSE,FALSE,39.1046,-84.5151
Gladden Lofts,Columbus,OH,47779055,Pre-Construction/Negotiated,,Multi-Residential,FALSE,FALSE,39.9139,-82.995
Senior Chateau Apartments Renovation,Cincinnati,OH,43000000,Under Construction,,Multi-Residential,FALSE,FALSE,39.105,-84.5608
Library Park - Phase 4,Columbus,OH,43000000,Pre-Construction/Negotiated,,"Multi-Residential, Office, Sidewalks / Parking Lot, Clubhouse / Community Centers",FALSE,FALSE,39.9625,-82.9889
Meijer / Richmond Heights,Richmond Heights,OH,5000000,Conceptual,,Retail,FALSE,FALSE,41.5528,-81.5101
Plastic Film Manufacturing Expansion,Lexington,OH,106000000,Conceptual,,Manufacturing,FALSE,FALSE,40.6796,-82.56
John Carroll University North Gateway,University Heights,OH,60000000,Under Construction,,"Restaurant, Retail, Educational",FALSE,FALSE,41.487,-81.5363
RFQ Construction Manager at Risk-Perry Local - New 5-8 Middle School,Massillon,OH,62253023,Final Planning,"Dec 5, 2024",Educational,FALSE,FALSE,40.7967,-81.5215
New Elementary/Middle School - 2023 Bond - Salem City Schools,Salem,OH,48787845,Under Construction,,Educational,FALSE,FALSE,40.9009,-80.8568
New Athens High School,The Plains,OH,60000000,Award,"Jul 15, 2025",Educational,FALSE,FALSE,39.3725,-82.128
Data Center / Columbus - Google,Lockbourne,OH,300000000,Under Construction,,Data Centers,FALSE,FALSE,39.8525,-82.9969
Hollywood Casino Columbus Expansion,Columbus,OH,100000000,Pre-Construction/Negotiated,,"Office, Restaurant, Conference / Convention Centers, Hotel / Motel",TRUE,FALSE,39.9488,-83.1078
Irish Village,Dublin,OH,40000000,Design,,"Multi-Residential, Retail",FALSE,FALSE,40.0992,-83.1141
Enable Injections Headquarters,Cincinnati,OH,32000000,Conceptual,,Office,FALSE,FALSE,39.2684,-84.4259
Abbe Road North Refrigerated Warehouse,Sheffield Lake,OH,24340000,Conceptual,,"Warehouse / Distribution, Industrial",FALSE,FALSE,41.4887,-82.0757
Former P&G Sharon Woods Innovation Center,Blue Ash,OH,20000000,Pre-Construction/Negotiated,,"Office, Manufacturing, Warehouse / Distribution, Laboratories",FALSE,FALSE,39.2792,-84.373
Fisher Rd Logistics Expansion,Columbus,OH,7500000,Final Planning,,Warehouse / Distribution,FALSE,FALSE,39.9757,-83.1433
Fairborn Middle School - Fairborn City Schools,Fairborn,OH,51000000,Award,,Educational,FALSE,FALSE,39.7955,-83.9998
Hall of Fame Village Powered by Johnson Controls - Phase 2 - Hall of Fame Waterpark,Canton,OH,75000000,Under Construction,,Amusement and Recreation,FALSE,FALSE,40.7989,-81.3784
Trotwood Salem Mall Redevelopment,Trotwood,OH,25000000,Conceptual,,"Retail, Industrial",FALSE,FALSE,39.7973,-84.3113
Georgetown VA Addition and Modernization,Georgetown,OH,64964572,Pre-Construction/Negotiated,,Residential Subdivision,FALSE,FALSE,38.879,-83.89
May Street Mixed-Use Development,Cincinnati,OH,43000000,Design,,"Multi-Residential, Sidewalks / Parking Lot, Playgrounds / Parks / Athletic Fields, Fitness / Rec Centers, Clubhouse / Community Centers",FALSE,FALSE,39.1313,-84.4941
Detroit Ave Multi-Family Building,Cleveland,OH,30000000,Pre-Construction/Negotiated,,"Multi-Residential, Retail",FALSE,FALSE,41.482,-81.7361
Gahanna Logistics Center,Gahanna,OH,19000000,Design,,Industrial,FALSE,FALSE,40.0001,-82.8549
Construction of a New Elementary and Middle School,Akron,OH,54000000,Design,"Dec 2, 2024",Educational,FALSE,FALSE,41.0455,-81.5587
Blume on 16th,Columbus,OH,40000000,Under Construction,,"Multi-Residential, Parking Garage, Religious / Funeral",FALSE,FALSE,40.0015,-83.006
Midtown Lofts,Cleveland,OH,35000000,Pre-Construction/Negotiated,,"Multi-Residential, Retail, Sidewalks / Parking Lot, Clubhouse / Community Centers",FALSE,FALSE,41.5094,-81.6655
Morse Crossing Office /  Columbus,Columbus,OH,5000000,Pre-Construction/Negotiated,,Office,FALSE,FALSE,40.0436,-82.9147
Mission Point Buildings A and B,Beavercreek,OH,29000000,Design,,Office,FALSE,FALSE,39.7092,-84.0633
Gordon Square Canopy at Herman Park Apartments,Cleveland,OH,31500000,Pre-Construction/Negotiated,,Multi-Residential,FALSE,FALSE,41.4875,-81.7291
Canopy at Herman Park / Cleveland,Cleveland,OH,20000000,Pre-Construction/Negotiated,,"Multi-Residential, Office",FALSE,FALSE,41.4875,-81.7291
AG47 Phase II,Silverton,OH,20000000,Conceptual,,Multi-Residential,FALSE,FALSE,39.1925,-84.4034
Lexington LSD - New PK-6 & Abate/Demos,Lexington Township,OH,50847975,Post-Bid,"Mar 31, 2025",Educational,FALSE,FALSE,40.9603,-81.1417
J.T.M. Food Group Expansion / Harrison,Harrison,OH,108000000,Under Construction,,Industrial,FALSE,FALSE,39.251,-84.8084
Schaeffler / New Greenfield Manufacturing Facility,Dover,OH,230000000,Under Construction,,Manufacturing,FALSE,FALSE,40.5206,-81.474
Xavier College of Osteopathic Medicine Building,Cincinnati,OH,110000000,Under Construction,,Educational,FALSE,FALSE,39.1467,-84.4708
Hampton Inn & Suites and Home2 Suites by Hilton Hotel,Hamilton,OH,61000000,Conceptual,,Hotel / Motel,TRUE,FALSE,39.4009,-84.5641
"White Hall HVAC and Classroom Improvements Phases Two, Three and Four",Kent,OH,7000000,Post-Bid,,Educational,FALSE,FALSE,41.1469,-81.348
Cedar on Main Parkside,Lebanon,OH,38000000,Pre-Construction/Negotiated,,"Multi-Residential, Sidewalks / Parking Lot, Warehouse / Distribution, Playgrounds / Parks / Athletic Fields, Swimming Pools, Fitness / Rec Centers, Clubhouse / Community Centers",FALSE,FALSE,39.4354,-84.2407
RFQ Construction Manager at Risk- Madison-Plains Local School District Facility Project,Columbus,OH,55306452,Post-Bid,,Educational,FALSE,FALSE,39.9625,-83.0032
Performance Impact Arena and Pavilion,Columbus,OH,60000000,Design,,Arenas / Stadiums,FALSE,FALSE,40.1073,-83.0911
Kroger #955 / Hamilton,Hamilton,OH,35000000,Design,,"Retail, Service Station / Car Wash",FALSE,FALSE,39.4237,-84.5862
Kroger A-955 / Hamilton,Hamilton,OH,26179000,GC Bidding,"Mar 18, 2026",Retail,FALSE,FALSE,39.4234,-84.5876
Addition and Renovation to Western Row Campus for the Warren County ESC,Mason,OH,11747000,Bid Results,"Feb 17, 2026",Conference / Convention Centers,FALSE,FALSE,39.3361,-84.3283
Rinchem Chemical Warehouse / New Albany,Johnstown,OH,50000000,Conceptual,,Warehouse / Distribution,FALSE,FALSE,40.1059,-82.7276
LayerZero Power Systems Expansion,Streetsboro,OH,14000000,Conceptual,,Industrial,FALSE,FALSE,41.2637,-81.3726
Expansion Of StandardAero Component Services Facility / Sharonville,Sharonville,OH,8000000,Conceptual,,"Manufacturing, Industrial",FALSE,FALSE,39.2827,-84.4283
Sandusky Senior Lofts,Sandusky,OH,38390511,Pre-Construction/Negotiated,,Multi-Residential,FALSE,FALSE,41.4369,-82.6914
US Foods Kitchen Renovation / Cincinnati,Cincinnati,OH,5000000,Post-Bid,"Jan 23, 2026",Industrial,FALSE,FALSE,39.3014,-84.4458
