Market,Submarket,Tier,Chain Class,Chain Scale,Brand,Company,Property,Rooms,Lat,Lng
"Cleveland, OH",Cleveland Southeast,Upper Tier,Upper Upscale,Upper Upscale,Hotel Indigo,IHG Hotels & Resorts,"Hotel Indigo Cleveland-Beachwood, an IHG Hotel",100,41.4633,-81.4935
"Akron, OH",Canton,Upper Tier,Upscale,Upscale,SpringHill Suites,Marriott International,SpringHill Suites by Marriott Canton,103,40.8648,-81.4303
"Akron, OH",Akron,Upper Tier,Upscale,Upscale,Residence Inn,Marriott International,Residence Inn by Marriott Akron South/Green,80,40.9839,-81.4905
"Ohio State Area, OH",I70 Corridor,Lower Tier,Economy,Economy,Microtel Inn & Suites by Wyndham,Wyndham Hotels & Resorts,Microtel Inn & Suites by Wyndham Cambridge,79,40.002,-81.579
"Youngstown, OH",,Upper Tier,Upscale,Upscale,Residence Inn,Marriott International,Residence Inn by Marriott Youngstown Warren/Niles,103,41.2149,-80.7503
"Ohio State Area, OH",I70 Corridor,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Cambridge by IHG,77,40.0045,-81.5741
"Ohio State Area, OH",Ohio South,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn & Suites by Wyndham Caldwell,76,39.7346,-81.5217
"Ohio State Area, OH",I70 Corridor,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn & Suites by Wyndham Belmont,76,40.0632,-81.0557
"Ohio State Area, OH",I70 Corridor,Lower Tier,Economy,Economy,SureStay,Best Western Hotels & Resorts,SureStay by Best Western Cambridge,71,40.0015,-81.5749
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Suites Marietta-Parkersburg,102,39.4066,-81.4124
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Washington Court House Jeffersonville,70,39.6172,-83.6095
"Cleveland, OH",Cleveland Southeast,Upper Tier,Upscale,Upscale,aloft Hotel,Marriott International,Aloft Cleveland Beachwood,135,41.4545,-81.4991
"Columbus, OH",Downtown Columbus,Upper Tier,Upscale,Upscale,Homewood Suites by Hilton,Hilton Worldwide,"Homewood Suites by Hilton Columbus/OSU, OH",109,40.0073,-83.0522
"Ohio State Area, OH",Ohio North,Upper Tier,Upscale,Upscale,Ascend Collection,"Choice Hotels International, Inc.","The Wallhouse Hotel, an Ascend Collection Hotel",62,40.5402,-81.726
"Cleveland, OH",Avon/I90 West,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Elyria,97,41.3929,-82.1152
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cincinnati Midtown/Rookwood,123,39.1497,-84.4448
"Akron, OH",Akron,Mid Tier,Upper Midscale,Independent,Independent,Independent,Kent State University Hotel & Conference Center,94,41.1525,-81.356
"Cleveland, OH",Downtown Cleveland,Upper Tier,Upscale,Upscale,aloft Hotel,Marriott International,Aloft Cleveland Downtown,150,41.5004,-81.7041
"Cincinnati, OH",Franklin,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Middletown,87,39.4865,-84.3263
"Columbus, OH",CMH Airport,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Columbus - Easton Area by IHG,100,40.06,-82.9216
"Cleveland, OH",Downtown Cleveland,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cleveland University Circle,153,41.508,-81.6053
"Columbus, OH",Newark,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Columbus New Albany,122,40.0912,-82.7886
"Dayton, OH",Dayton South/Miamisburg,Upper Tier,Upscale,Upscale,Hilton Garden Inn,Hilton Worldwide,Hilton Garden Inn Dayton South-Austin Landing,125,39.6022,-84.2322
"Cincinnati, OH",Cincinnati North,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,"Sharonville, Oh",129,39.2757,-84.4397
"Dayton, OH",Downtown/DAY Airport,Lower Tier,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,Knights Inn Dayton at Poe Ave,118,39.8569,-84.1881
"Cincinnati, OH",Cincinnati West,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Oxford/Miami University Area,74,39.5055,-84.7448
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Luxury,Luxury,21c Museum Hotel,Accor Hotels,21c Museum Hotel Cincinnati,156,39.1032,-84.5121
"Toledo, OH",Toledo West,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express Toledo North by IHG,83,41.7246,-83.5095
"Columbus, OH",Downtown Columbus,Upper Tier,Upper Upscale,Upper Upscale,Hilton,Hilton Worldwide,Hilton Columbus Downtown,532,39.9705,-83.0014
"Dayton, OH",Dayton South/Miamisburg,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn by Hilton Dayton South,95,39.6319,-84.2239
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites North Fremont by IHG,79,41.3973,-83.1117
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Inn & Suites Dover,74,40.5254,-81.4937
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Marietta,104,39.4062,-81.4112
"Columbus, OH",Columbus West,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Columbus Hilliard,83,39.9796,-83.1463
"Cleveland, OH",Downtown Cleveland,Upper Tier,Upscale,Upscale,DoubleTree by Hilton,Hilton Worldwide,The Tudor Arms Hotel Cleveland - a DoubleTree by Hilton,157,41.5007,-81.6128
"Columbus, OH",Worthington/Westerville,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Columbus - Polaris Parkway by IHG,104,40.1451,-82.9661
"Columbus, OH",Downtown Columbus,Upper Tier,Upscale,Upscale,SpringHill Suites,Marriott International,SpringHill Suites by Marriott Columbus OSU,136,39.9889,-83.0264
"Youngstown, OH",,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Youngstown West - Austintown by IHG,86,41.127,-80.7703
"Dayton, OH",Dayton South/Miamisburg,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Dayton South - I-675,111,39.6336,-84.1934
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upscale,Upscale,Residence Inn,Marriott International,Residence Inn by Marriott Cincinnati Downtown/The Phelps,134,39.1015,-84.5045
"Cincinnati, OH",Downtown Cincinnati,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Cincinnati/Uptown-University Area,132,39.1343,-84.5087
"Dayton, OH",Dayton Northeast/Fairborn,Mid Tier,Midscale,Midscale,Wingate by Wyndham,Wyndham Hotels & Resorts,Wingate by Wyndham Dayton - Fairborn,90,39.7768,-84.0643
