Market,Submarket,Tier,Chain Class,Chain Scale,Brand,Company,Property,Rooms,Lat,Lng
"Cincinnati, OH",Cincinnati West,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Harrison OH,101,39.2583,-84.7985
"Youngstown, OH",,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Youngstown/Austintown,60,41.1229,-80.7618
"Akron, OH",Twinsburg/Streetsboro,Lower Tier,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,Knights Inn Macedonia,60,41.2983,-81.5167
"Columbus, OH",Worthington/Westerville,Mid Tier,Midscale,Midscale,Candlewood Suites,IHG Hotels & Resorts,"Candlewood Suites Columbus North, an IHG Hotel",102,40.0913,-82.9882
"Sandusky, OH",,Mid Tier,Midscale,Independent,Independent,Independent,Cedar Cove,63,41.4413,-82.682
"Toledo, OH",Toledo West,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Toledo Airport Holland,149,41.6143,-83.6932
"Youngstown, OH",,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn,IHG Hotels & Resorts,Holiday Inn,71,41.0227,-80.6352
"Youngstown, OH",,Mid Tier,Midscale,Midscale,Best Western,Best Western Hotels & Resorts,Best Western Park Hotel,54,41.2367,-80.8176
"Sandusky, OH",,Upper Tier,Upscale,Independent,Independent,Independent,Castaway Bay by Cedar Point Resorts,237,41.4424,-82.6765
"Ohio State Area, OH",Mansfield/Ashland,Mid Tier,Upper Midscale,Upper Midscale,Comfort Inn,"Choice Hotels International, Inc.",Comfort Inn Splash Harbor,99,40.6461,-82.5421
"Columbus, OH",Columbus West,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Columbus/Dublin,123,40.1081,-83.096
"Dayton, OH",Dayton South/Miamisburg,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Dayton, OH",67,39.6328,-84.2052
"Columbus, OH",Downtown Columbus,Upper Tier,Upscale,Upscale,Sonesta Hotel,Sonesta International Hotels Corp,Sonesta Columbus Downtown,421,39.9687,-83.0004
"Dayton, OH",Downtown/DAY Airport,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Dayton, OH - Englewood",57,39.8572,-84.2807
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn Upper Sandusky,85,40.8352,-83.2447
"Youngstown, OH",,Lower Tier,Economy,Independent,Independent,Independent,Economy Inn & Suites,50,41.2132,-80.7681
"Ohio State Area, OH",Ohio South,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Marietta,48,39.4074,-81.421
"Ohio State Area, OH",Ohio South,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn by Wyndham Athens,58,39.3593,-82.108
"Youngstown, OH",,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn & Suites by Wyndham Youngstown / Girard Ohio,54,41.1529,-80.666
"Dayton, OH",Dayton South/Miamisburg,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Miamisburg Dayton S Area OH,60,39.6396,-84.2415
"Columbus, OH",Downtown Columbus,Mid Tier,Midscale,Independent,Independent,Independent,Olentangy Motor Inn,119,39.9894,-83.0267
"Cincinnati, OH",Franklin,Lower Tier,Economy,Economy,Econo Lodge,"Choice Hotels International, Inc.",Econo Lodge Franklin - Springboro,38,39.5625,-84.2759
"Columbus, OH",CMH Airport,Upper Tier,Upper Upscale,Upper Upscale,Marriott,Marriott International,Columbus Airport Marriott,230,39.998,-82.9315
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Econo Lodge,"Choice Hotels International, Inc.",Econo Lodge Wooster,89,40.7949,-81.9064
"Akron, OH",Akron West,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Cleveland - Medina,86,41.138,-81.7963
"Cleveland, OH",Strongsville/Medina,Mid Tier,Upper Midscale,Upper Midscale,Sonesta ES Suites,Sonesta International Hotels Corp,Sonesta Simply Suites Cleveland Airport,158,41.3742,-81.8221
"Ohio State Area, OH",Ohio South,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Marietta,62,39.4114,-81.4276
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,Perry Holiday Hotel,50,41.6497,-82.82
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Upscale,Ascend Collection,"Choice Hotels International, Inc.","The Blu Hotel, Blue Ash - Cincinnati",50,39.2743,-84.3759
"Dayton, OH",Dayton Northeast/Fairborn,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn Fairborn near Wright Patterson AFB,58,39.8299,-84.0224
"Ohio State Area, OH",Mansfield/Ashland,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn & Suites,92,40.7722,-82.5502
"Cleveland, OH",Cleveland Heights,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Mentor/Cleveland Area,63,41.6617,-81.3805
"Cincinnati, OH",Cincinnati North,Mid Tier,Midscale,Independent,Independent,Independent,LivINN Hotel Cincinnati / Sharonville Convention Center,129,39.2801,-84.4448
"Dayton, OH",Dayton South/Miamisburg,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Dayton South,146,39.6342,-84.2282
"Dayton, OH",Dayton Northeast/Fairborn,Upper Tier,Upscale,Upscale,DoubleTree by Hilton,Hilton Worldwide,DoubleTree by Hilton Dayton Fairborn,203,39.7762,-84.0577
"Toledo, OH",Toledo West,Lower Tier,Economy,Economy,Econo Lodge,"Choice Hotels International, Inc.",Econo Lodge Holland - Toledo,120,41.619,-83.6935
"Toledo, OH",Toledo West,Mid Tier,Midscale,Independent,Independent,Independent,Siegel Suites Toledo/Holland,96,41.6143,-83.6873
"Ohio State Area, OH",Ohio South,Upper Tier,Upper Upscale,Independent,Independent,Independent,Inn & Spa at Cedar Falls,26,39.425,-82.5253
"Toledo, OH",Toledo West,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn by Wyndham Maumee/Toledo,119,41.5883,-83.6661
"Ohio State Area, OH",Findlay,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Findlay,61,41.0599,-83.6624
"Dayton, OH",Downtown/DAY Airport,Mid Tier,Midscale,Midscale,Hawthorn Suites by Wyndham,Wyndham Hotels & Resorts,Hawthorn Extended Stay by Wyndham Dayton,64,39.8501,-84.1881
"Ohio State Area, OH",I70 Corridor,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Zanesville,62,39.9497,-82.0472
"Akron, OH",Akron West,Mid Tier,Midscale,Independent,Independent,Independent,StayPlace Suites - Akron/Copley Township - West,112,41.132,-81.6542
"Akron, OH",Twinsburg/Streetsboro,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Twinsburg/Cleveland Area,59,41.3123,-81.4496
"Cincinnati, OH",Cincinnati North,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Cincinnati - Sharonville,108,39.269,-84.4368
"Toledo, OH",Toledo West,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Toledo-South/Maumee,125,41.5824,-83.6661
"Cincinnati, OH",CVG Airport,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn & Suites Florence - Cincinnati South,111,39.0105,-84.6321
"Cincinnati, OH",CVG Airport,Upper Tier,Upper Upscale,Upper Upscale,Hilton,Hilton Worldwide,Hilton Cincinnati Airport,314,39.0135,-84.633
"Cleveland, OH",Cleveland Southeast,Mid Tier,Upper Midscale,Upper Midscale,Comfort Inn,"Choice Hotels International, Inc.",Comfort Inn Mayfield Heights Cleveland East,99,41.5221,-81.4487
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Independent,Independent,Independent,Berlin Resort,76,40.5598,-81.7975
"Ohio State Area, OH",Ohio South,Lower Tier,Economy,Economy,Budget Host,Budget Host,Budget Host Inn,19,38.936,-83.6537
"Dayton, OH",Dayton South/Miamisburg,Lower Tier,Economy,Independent,Independent,Independent,Xenia Country Inn,88,39.6842,-83.9453
"Cincinnati, OH",CVG Airport,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Fort Mitchell Cincinnati Area,99,39.0485,-84.5709
"Ohio State Area, OH",Ohio South,Mid Tier,Midscale,Independent,Independent,Independent,Relax Inn,60,39.7322,-82.6215
"Columbus, OH",Columbus West,Lower Tier,Economy,Economy,Rodeway Inn,"Choice Hotels International, Inc.",Rodeway Inn Columbus West,120,39.9782,-83.1476
"Ohio State Area, OH",Ohio South,Lower Tier,Economy,Economy,Rodeway Inn,"Choice Hotels International, Inc.",Rodeway Inn Circleville,70,39.584,-82.954
"Columbus, OH",Worthington/Westerville,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Columbus Worthington,145,40.1147,-83.0153
"Sandusky, OH",,Mid Tier,Upper Midscale,Upper Midscale,La Quinta Inns & Suites,Wyndham Hotels & Resorts,La Quinta Inn by Wyndham Sandusky near Cedar Point,61,41.4279,-82.6814
"Cincinnati, OH",Cincinnati North,Mid Tier,Midscale,Midscale,Baymont,Wyndham Hotels & Resorts,Baymont by Wyndham Cincinnati,130,39.2675,-84.4373
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Independent,Independent,Independent,The Inn At Walnut Creek,21,40.5405,-81.7219
"Toledo, OH",Toledo West,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn Alexis Rd,80,41.7228,-83.5388
"Ohio State Area, OH",Ohio South,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn Jackson,52,39.0451,-82.631
"Cleveland, OH",Avon/I90 West,Lower Tier,Economy,Independent,Independent,Independent,WestSpring Inn Cleveland - Westlake,115,41.4742,-81.8995
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Independent,Independent,Independent,Continent Inn,142,40.0909,-82.9879
"Cleveland, OH",Avon/I90 West,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Cleveland-Westlake,122,41.4653,-81.9491
"Cincinnati, OH",CVG Airport,Upper Tier,Upscale,Upscale,DoubleTree by Hilton,Hilton Worldwide,DoubleTree by Hilton Hotel Cincinnati Airport,177,39.0574,-84.6607
"Columbus, OH",Columbus West,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Columbus Dublin,147,40.1006,-83.1303
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cincinnati Blue Ash,149,39.2543,-84.3791
"Cincinnati, OH",Franklin,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Franklin/Middletown Area,49,39.4954,-84.3225
"Dayton, OH",Downtown/DAY Airport,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn by Wyndham Dayton Airport,129,39.8585,-84.2845
"Toledo, OH",Toledo West,Lower Tier,Economy,Economy,Americas Best Value Inn,Sonesta International Hotels Corp,Americas Best Value Inn Maumee Toledo,40,41.585,-83.6628
"Toledo, OH",Toledo West,Mid Tier,Upper Midscale,Upper Midscale,Comfort Inn,"Choice Hotels International, Inc.",Comfort Inn Maumee - Perrysburg Area,77,41.584,-83.6643
"Cleveland, OH",Avon/I90 West,Mid Tier,Upper Midscale,Upper Midscale,La Quinta Inns & Suites,Wyndham Hotels & Resorts,La Quinta Inn & Suites by Wyndham Cleveland Airport West,103,41.4135,-81.9052
"Ohio State Area, OH",Mansfield/Ashland,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Mansfield, OH",110,40.7736,-82.5533
"Dayton, OH",Springfield,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,Days Inn & Suites by Wyndham Springfield OH,43,39.8942,-83.8124
"Cincinnati, OH",CVG Airport,Lower Tier,Economy,Economy,HomeTowne Studios by Red Roof,Red Roof Group,"HomeTowne Studios Florence, KY - Cincinnati Airport",50,39.0022,-84.6448
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Independent,Independent,Independent,Dover Inn & Suites,70,40.5243,-81.4895
"Akron, OH",Akron,Mid Tier,Midscale,Independent,Independent,Independent,Ranch Motel,24,41.1688,-81.5087
"Columbus, OH",Downtown Columbus,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Columbus Downtown,150,39.9657,-83.0028
"Columbus, OH",Newark,Lower Tier,Economy,Economy,Americas Best Value Inn,Sonesta International Hotels Corp,Americas Best Value Inn - Heath/Newark,50,40.0172,-82.4504
"Toledo, OH",Toledo East,Lower Tier,Economy,Independent,Independent,Independent,Lake Erie Lodge,50,41.6605,-83.2939
"Ohio State Area, OH",Ohio South,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn Chillicothe,97,39.3496,-82.9772
"Cincinnati, OH",Franklin,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn by Wyndham Middletown,53,39.4943,-84.3202
"Ohio State Area, OH",I70 Corridor,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn & Suites Zanesville City Center,93,39.9457,-81.9995
"Akron, OH",Canton,Upper Tier,Upscale,Upscale,DoubleTree by Hilton,Hilton Worldwide,DoubleTree by Hilton Canton Downtown,165,40.7966,-81.3748
"Columbus, OH",Worthington/Westerville,Upper Tier,Upscale,Upscale,Wyndham,Wyndham Hotels & Resorts,Wyndham Columbus,306,40.1134,-83.0109
"Columbus, OH",Worthington/Westerville,Mid Tier,Midscale,Midscale,Ramada,Wyndham Hotels & Resorts,Ramada by Wyndham Columbus North,124,40.1083,-82.9517
"Akron, OH",Akron West,Lower Tier,Economy,Economy,Econo Lodge,"Choice Hotels International, Inc.",Econo Lodge Akron Copley Northwest,54,41.1342,-81.6479
"Columbus, OH",Columbus South,Lower Tier,Economy,Independent,Independent,Independent,Loyalty Inn,99,39.9311,-82.833
"Ohio State Area, OH",Findlay,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Findlay,114,41.063,-83.663
"Dayton, OH",Downtown/DAY Airport,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,Motel 6 Dayton OH,98,39.8498,-84.1918
"Columbus, OH",Columbus South,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Columbus - Grove City,114,39.8796,-83.0473
"Cincinnati, OH",CVG Airport,Lower Tier,Economy,Economy,Rodeway Inn,"Choice Hotels International, Inc.",Rodeway Inn Florence - Cincinnati South,90,38.9898,-84.6413
"Cincinnati, OH",CVG Airport,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Florence,78,38.9903,-84.6427
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Port Clinton,38,41.5141,-82.9185
"Dayton, OH",Dayton South/Miamisburg,Mid Tier,Midscale,Midscale,Hawthorn Suites by Wyndham,Wyndham Hotels & Resorts,Hawthorn Suites by Wyndham Miamisburg/Dayton Mall South,96,39.6333,-84.2291
"Cincinnati, OH",Cincinnati North,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn & Suites Cincinnati North - Mason,97,39.2907,-84.3173
"Akron, OH",Canton,Mid Tier,Upper Midscale,Upper Midscale,Country Inn & Suites by Choice,"Choice Hotels International, Inc.","Country Inn & Suites by Radisson, Canton near Hall of Fame",98,40.8577,-81.4187
"Columbus, OH",Columbus West,Lower Tier,Economy,Independent,Independent,Independent,Hilliard Motor Lodge,97,40.032,-83.1281
"Akron, OH",Canton,Lower Tier,Economy,Economy,Rodeway Inn,"Choice Hotels International, Inc.",Rodeway Inn Near Hall of Fame,83,40.881,-81.4335
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Hamilton,120,39.4019,-84.5629
"Cincinnati, OH",Cincinnati North,Lower Tier,Economy,Economy,Rodeway Inn,"Choice Hotels International, Inc.",Rodeway Inn Sharonville - Cincinnati North,110,39.2908,-84.3977
"Cleveland, OH",Cleveland Southeast,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cleveland Beachwood,113,41.4589,-81.4875
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,La Quinta Inns & Suites,Wyndham Hotels & Resorts,La Quinta Inn and Suites by Wyndham Cincinnati North,98,39.3008,-84.4836
"Sandusky, OH",,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Sandusky,114,41.4414,-82.6837
"Akron, OH",Canton,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn Hall of Fame,59,40.8554,-81.4214
"Toledo, OH",Toledo West,Upper Tier,Upper Upscale,Upper Upscale,Renaissance,Marriott International,Renaissance Toledo Downtown Hotel,241,41.6526,-83.5313
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,Comfort Inn,"Choice Hotels International, Inc.",Comfort Inn Cincinnati Northeast,113,39.2917,-84.3122
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Uhrichsville,48,40.4113,-81.3512
"Columbus, OH",Downtown Columbus,Upper Tier,Upscale,Independent,Independent,Independent,The Capital Suites Hotel,194,39.9608,-83.002
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Columbus - Ohio State Fairgrounds,83,40.0863,-82.9845
"Cincinnati, OH",Cincinnati North,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Cincinnati, OH",85,39.286,-84.4425
"Columbus, OH",Columbus South,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn by Wyndham Grove City Columbus South,70,39.877,-83.0527
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Red Roof Inn & Suites Marysville,69,40.242,-83.3445
"Ohio State Area, OH",Mansfield/Ashland,Mid Tier,Midscale,Independent,Independent,Independent,Surrey Inn Ashland,27,40.8587,-82.3273
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,SureStay,Best Western Hotels & Resorts,SureStay by Best Western Greenville,61,40.0978,-84.6163
"Columbus, OH",Columbus West,Lower Tier,Economy,Economy,Red Roof Plus+,Red Roof Group,Red Roof PLUS+ Columbus - Dublin,106,40.1001,-83.1283
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,Sonesta ES Suites,Sonesta International Hotels Corp,Sonesta ES Suites Cincinnati - Sharonville West,144,39.2877,-84.4435
"Sandusky, OH",,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn Milan-Sandusky,101,41.3331,-82.6236
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Independent,Independent,Independent,Mohican Little Brown Inn,20,40.6288,-82.2346
"Columbus, OH",Worthington/Westerville,Mid Tier,Midscale,Midscale,Hawthorn Suites by Wyndham,Wyndham Hotels & Resorts,Hawthorn Extended Stay by Wyndham Columbus North,96,40.0925,-82.9884
"Columbus, OH",Downtown Columbus,Lower Tier,Economy,Economy,Red Roof Plus+,Red Roof Group,Red Roof PLUS+ Columbus - Ohio State University OSU,113,40.0176,-83.0245
"Columbus, OH",Columbus South,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn Columbus-East,85,39.9374,-82.8317
"Cleveland, OH",Strongsville/Medina,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn Middleburg Heights near Cleveland Airport,106,41.3702,-81.824
"Columbus, OH",CMH Airport,Upper Tier,Upper Upscale,Upper Upscale,Embassy Suites by Hilton,Hilton Worldwide,Embassy Suites by Hilton Columbus,224,40.1033,-82.9444
"Ohio State Area, OH",Mansfield/Ashland,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn & Suites Downtown Mansfield,106,40.759,-82.5198
"Ohio State Area, OH",Ohio South,Lower Tier,Economy,Economy,Americas Best Value Inn,Sonesta International Hotels Corp,Americas Best Value Inn Chillicothe,45,39.339,-82.9505
"Cleveland, OH",Strongsville/Medina,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Middleburg Heights, OH - Cleveland",95,41.3709,-81.8237
"Dayton, OH",Downtown/DAY Airport,Mid Tier,Midscale,Independent,Independent,Independent,Plaza Motel,47,39.7869,-84.1878
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upper Upscale,Upper Upscale,Hyatt Regency,Hyatt Hotels Corporation,Hyatt Regency Cincinnati,491,39.1004,-84.5156
"Columbus, OH",Downtown Columbus,Upper Tier,Upper Upscale,Independent,Independent,Independent,The Plaza Hotel Columbus At Capitol Squa,403,39.9598,-82.9979
"Cincinnati, OH",Cincinnati North,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Cincinnati Northeast - Blue Ash,99,39.2504,-84.3678
"Columbus, OH",Downtown Columbus,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Columbus, OH - OSU",92,40.027,-83.0253
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Columbus Northeast - Westerville,95,40.1036,-82.9256
"Cleveland, OH",Avon/I90 West,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Cleveland - Westlake,98,41.47,-81.9491
"Cleveland, OH",Avon/I90 West,Lower Tier,Economy,Independent,Independent,Independent,Sycamore Suites,97,41.3989,-82.1179
"Columbus, OH",Columbus West,Upper Tier,Upscale,Upscale,DoubleTree by Hilton,Hilton Worldwide,DoubleTree by Hilton Columbus Dublin,174,40.0963,-83.1332
"Cleveland, OH",Cleveland Heights,Lower Tier,Economy,Independent,Independent,Independent,Mentor Home Inn & Suites,70,41.6418,-81.3759
"Akron, OH",Akron,Mid Tier,Midscale,Independent,Independent,Independent,University Inn,40,41.158,-81.3582
"Youngstown, OH",,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn Austintown-Youngstown West,57,41.1217,-80.7701
"Ohio State Area, OH",Lima,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Lima, OH",90,40.7297,-84.0727
"Ohio State Area, OH",Mansfield/Ashland,Lower Tier,Economy,Economy,M Star,Magnuson Companies LLC,M Star Hotel Mansfield,40,40.7584,-82.5208
"Cincinnati, OH",Cincinnati East,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn,IHG Hotels & Resorts,Holiday Inn & Suites Cincinnati-Eastgate (I-275E) by IHG,212,39.0999,-84.2751
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Independent,Independent,Independent,Columbus North Inn,136,40.0648,-82.9993
"Sandusky, OH",,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn Huron,43,41.4077,-82.5935
"Youngstown, OH",,Mid Tier,Midscale,Midscale,FairBridge Inn Express,Fairbridge Hotels International,FairBridge Inn Express North Lima,83,40.9724,-80.6623
"Ohio State Area, OH",I70 Corridor,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn by Wyndham Cambridge,101,40.0022,-81.5777
"Cincinnati, OH",Cincinnati East,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Cincinnati East - Beechmont,104,39.0715,-84.3026
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn by Wyndham Columbus/Worthington,98,40.1157,-83.015
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Sidney, OH",53,40.2874,-84.1855
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upper Upscale,Upper Upscale,Westin,Marriott International,The Westin Cincinnati,456,39.101,-84.5121
"Ohio State Area, OH",Findlay,Lower Tier,Economy,Economy,Rodeway Inn,"Choice Hotels International, Inc.",Rodeway Inn Findlay University Area,80,41.0624,-83.6631
"Cleveland, OH",Cleveland Southeast,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Beachwood Inn,128,41.4563,-81.4872
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Economy,Red Roof Plus+,Red Roof Group,Red Roof PLUS+ Columbus - Worthington,108,40.1163,-83.015
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,The Inn at Honey Run,43,40.574,-81.8734
"Dayton, OH",Downtown/DAY Airport,Upper Tier,Upper Upscale,Upper Upscale,Marriott,Marriott International,Marriott at the University of Dayton,399,39.7372,-84.1914
"Cleveland, OH",Strongsville/Medina,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Cleveland - Airport/Middleburg Heights,116,41.3701,-81.8227
"Columbus, OH",Worthington/Westerville,Upper Tier,Upscale,Upscale,Crowne Plaza,IHG Hotels & Resorts,Crowne Plaza Columbus North- Worthington by IHG,300,40.0994,-82.9865
"Toledo, OH",Toledo East,Mid Tier,Midscale,Midscale,Baymont,Wyndham Hotels & Resorts,Baymont by Wyndham Perrysburg/Toledo,97,41.5513,-83.6002
"Akron, OH",Canton,Lower Tier,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,Knights Inn Canton,80,40.8555,-81.4205
"Toledo, OH",Toledo East,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Millbury/Toledo,108,41.5425,-83.4639
"Cleveland, OH",Strongsville/Medina,Upper Tier,Upscale,Upscale,Wyndham,Wyndham Hotels & Resorts,Wyndham Independence,192,41.3934,-81.6505
"Cleveland, OH",Avon/I90 West,Mid Tier,Upper Midscale,Upper Midscale,Wyndham Garden,Wyndham Hotels & Resorts,Wyndham Garden Westlake,267,41.4716,-81.9521
"Columbus, OH",Downtown Columbus,Upper Tier,Upper Upscale,Upper Upscale,Hyatt Regency,Hyatt Hotels Corporation,Hyatt Regency Columbus,633,39.9696,-83.0011
"Cleveland, OH",Cleveland Heights,Lower Tier,Economy,Economy,Red Roof Inn,Red Roof Group,Red Roof Inn Cleveland - Mentor/ Willoughby,108,41.6386,-81.3738
"Cincinnati, OH",Downtown Cincinnati,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn & Suites Cincinnati Uptown Norwood,108,39.1712,-84.4244
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,DAYS INN BY WYNDHAM,105,41.9195,-80.5668
"Cincinnati, OH",Cincinnati West,Mid Tier,Upper Midscale,Independent,Independent,Independent,Butler Inn,30,39.5187,-84.7582
"Cleveland, OH",Cleveland Heights,Lower Tier,Economy,Independent,Independent,Independent,SkyLight Inn & Suites,110,41.6053,-81.441
